name,album,year,song_length
LATATA,I am,2018,322
$$$,I am,2018,331
Maze,I am,2018,320
Don’t Text Me,I am,2018,336
What’s In Your House,I am,2018,327
Hear Me,I am,2018,356
Hann (Alone),HANN,2018,325
Relay,Relay,2018,343
Señorita,I Made,2019,317
What’s Your Name,I Made,2019,309
Put It Straight,I Made,2019,356
Give Me Your,I Made,2019,340
Blow Your Mind,I Made,2019,249
Uh-Oh,Uh-Oh,2019,327
LATATA (Japanese Version),LATATA (Japanese Version),2019,322
Light My Fire,LATATA (Japanese Version),2019,351
MAZE (Japanese Version),LATATA (Japanese Version),2019,320
For You,LATATA (Japanese Version),2019,344
Hann (Alone) (Japanese Version),LATATA (Japanese Version),2019,325
Put It Straight (Nightmare Version),Put It Straight (Nightmare Version),2019,416
LION,I trust,2019,330
Oh My God,I trust,2020,315
Luv U,I trust,2020,333
Maybe,I trust,2020,300
Oh My God (English Ver.),I trust,2020,315
LATATA (English Version),LATATA (English Version),2020,322
i’M THE TREND,i’M THE TREND,2020,325
DUMDi DUMDi,DUMDi DUMDi,2020,330
Oh my god (Japanese Ver.),Oh My God (Japanese Album),2020,315
Uh-Oh (Japanese Version),Oh My God (Japanese Album),2020,327
Senorita (Japanese Version),Oh My God (Japanese Album),2020,317
Tung-Tung (Empty),Oh My God (Japanese Album),2020,349
DUMDi DUMDi (Japanese Version),Oh My God (Japanese Album),2020,330
Hann (Alone in winter),I burn,2021,255
HWAA,I burn,2021,317
Moon,I burn,2021,320
Where is love,I burn,2021,257
Lost,I burn,2021,301
Dahlia,I burn,2021,310
Last Dance,Last Dance,2021,304
